person_age,person_income,person_emp_length,person_home_ownership,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,cb_person_default_on_file
25,35000,0,RENT,B,MEDICAL,5000,11.71,0,0.14,2,N
21,35000,5,RENT,B,MEDICAL,5000,10.65,0,0.14,3,N
22,35000,2,RENT,B,MEDICAL,5000,11.71,0,0.14,2,N
23,35000,5,RENT,A,PERSONAL,5000,6.99,0,0.14,2,N
26,29000,6,RENT,C,MEDICAL,5000,12.99,1,0.17,2,Y
25,36000,6,MORTGAGE,D,MEDICAL,10000,,1,0.28,2,N
23,42000,2,MORTGAGE,B,EDUCATION,5200,10.25,0,0.12,4,N
22,35000,6,RENT,B,MEDICAL,5000,,0,0.14,4,N
23,35000,3,RENT,B,MEDICAL,5000,,0,0.14,2,N
25,35000,3,RENT,B,MEDICAL,5000,10.36,0,0.14,3,N
22,35000,3,RENT,A,DEBTCONSOLIDATION,5000,7.88,0,0.14,3,N
24,35000,8,RENT,A,DEBTCONSOLIDATION,5000,7.88,0,0.14,4,N
22,35000,4,RENT,C,PERSONAL,5000,13.23,0,0.14,2,N
25,42000,5,MORTGAGE,A,DEBTCONSOLIDATION,7000,8.59,0,0.17,3,N
25,36000,2,MORTGAGE,C,DEBTCONSOLIDATION,13750,13.22,1,0.38,4,N
26,42000,0,MORTGAGE,B,VENTURE,4500,11.48,0,0.11,3,N
25,29000,3,RENT,D,DEBTCONSOLIDATION,5000,15.7,1,0.17,3,Y
22,42000,6,MORTGAGE,A,MEDICAL,5000,8.94,0,0.12,2,N
23,29000,1,RENT,F,MEDICAL,5000,,1,0.17,3,Y
24,29004,4,RENT,A,EDUCATION,5000,6.92,1,0.17,3,N
23,35004,4,RENT,C,MEDICAL,5000,14.72,0,0.14,3,Y
25,42000,2,MORTGAGE,A,PERSONAL,6000,8.94,0,0.14,2,N
24,42000,2,MORTGAGE,A,HOMEIMPROVEMENT,7000,8.59,0,0.17,2,N
25,35004,3,RENT,A,PERSONAL,5000,8.94,0,0.14,2,N
23,35520,3,RENT,C,EDUCATION,5000,13.57,0,0.14,3,N
21,35550,3,RENT,C,PERSONAL,5000,,0,0.14,4,N
26,35880,2,RENT,A,VENTURE,5000,7.68,0,0.14,4,N
22,30000,3,RENT,D,MEDICAL,5000,18.25,1,0.17,2,N
21,42000,5,OTHER,C,DEBTCONSOLIDATION,12000,14.26,0,0.29,4,Y
23,36000,1,RENT,C,EDUCATION,5000,14.79,0,0.14,2,N
21,36000,3,RENT,C,EDUCATION,5000,12.99,0,0.14,4,N
23,30000,7,RENT,C,PERSONAL,5000,14.17,1,0.17,3,Y
26,36000,4,RENT,B,VENTURE,5000,10.37,0,0.14,4,N
23,42000,1,MORTGAGE,C,PERSONAL,5750,13.57,0,0.14,3,N
22,30000,2,RENT,D,DEBTCONSOLIDATION,5000,14.54,1,0.17,4,N
23,36000,0,RENT,B,EDUCATION,5000,,0,0.14,3,N
23,36000,,RENT,A,DEBTCONSOLIDATION,5000,6.17,0,0.14,2,N
22,30000,6,RENT,E,MEDICAL,5000,17.43,1,0.17,2,N
26,42000,4,MORTGAGE,B,MEDICAL,15000,11.26,0,0.36,4,N
23,42000,7,OWN,B,PERSONAL,4400,11.89,0,0.1,4,N
22,30000,4,RENT,D,VENTURE,5000,15.21,1,0.17,3,Y
24,30000,1,RENT,D,HOMEIMPROVEMENT,5000,15.7,1,0.17,4,Y
22,36000,,RENT,C,MEDICAL,5000,13.48,0,0.14,3,N
23,36000,1,RENT,C,MEDICAL,5000,13.22,0,0.14,4,N
23,36100,2,RENT,A,EDUCATION,5000,7.49,0,0.14,4,N
22,42000,1,MORTGAGE,A,EDUCATION,13000,,0,0.31,4,N
25,42000,9,OWN,A,HOMEIMPROVEMENT,8000,9.63,0,0.19,2,N
26,36225,2,RENT,C,VENTURE,5000,12.84,0,0.14,4,N
24,36396,8,RENT,A,DEBTCONSOLIDATION,5000,6.03,0,0.14,3,N
26,36400,3,RENT,A,MEDICAL,5000,8.9,0,0.14,4,N
25,36480,4,RENT,A,DEBTCONSOLIDATION,5000,6.54,0,0.14,2,N
22,36996,3,RENT,B,VENTURE,5000,9.99,0,0.14,3,N
23,42000,3,MORTGAGE,C,EDUCATION,5400,11.78,0,0.13,4,N
24,42000,1,OWN,B,VENTURE,7500,10.51,0,0.18,3,N
22,36996,0,RENT,A,MEDICAL,5000,5.42,0,0.14,2,N
24,42000,2,MORTGAGE,C,PERSONAL,2000,11.28,0,0.05,2,N
22,37000,4,RENT,B,PERSONAL,5000,10.65,0,0.14,4,N
26,36000,10,MORTGAGE,C,HOMEIMPROVEMENT,5000,12.29,1,0.14,3,Y
22,37500,4,RENT,C,PERSONAL,5000,11.03,0,0.13,3,Y
26,42000,11,MORTGAGE,D,EDUCATION,15075,12.92,0,0.36,2,N
23,31516,,RENT,B,DEBTCONSOLIDATION,5000,9.91,1,0.16,4,N
23,42000,1,OWN,B,PERSONAL,5400,,0,0.13,2,N
23,42048,7,MORTGAGE,A,EDUCATION,8500,7.74,0,0.2,3,N
23,32000,,RENT,B,PERSONAL,5000,9.91,1,0.16,3,N
24,38000,8,RENT,C,MEDICAL,5000,13.99,0,0.13,4,N
23,32000,5,RENT,B,HOMEIMPROVEMENT,5000,,1,0.16,4,N
22,38000,0,RENT,A,EDUCATION,5000,7.29,0,0.13,3,N
21,38000,0,RENT,C,EDUCATION,5000,,0,0.13,4,Y
23,42179,1,MORTGAGE,A,EDUCATION,10000,5.42,0,0.24,4,N
23,38000,0,RENT,B,MEDICAL,5000,11.58,0,0.13,3,N
25,32000,1,RENT,D,EDUCATION,5000,15.37,1,0.16,3,Y
23,32000,2,RENT,E,VENTURE,5000,13.93,1,0.16,4,N
23,38004,5,RENT,A,VENTURE,5000,6.91,0,0.13,2,N
25,42240,10,OWN,A,HOMEIMPROVEMENT,8000,6.62,0,0.19,4,N
23,42240,3,MORTGAGE,C,EDUCATION,5500,12.73,0,0.13,3,N
24,42252,3,MORTGAGE,C,PERSONAL,8000,12.84,0,0.19,2,N
26,32352,0,RENT,D,VENTURE,5000,14.84,1,0.15,4,N
21,38400,5,RENT,B,PERSONAL,5000,10.59,0,0.13,4,N
25,42348,9,MORTGAGE,A,DEBTCONSOLIDATION,8000,,0,0.19,2,N
24,38400,3,RENT,B,MEDICAL,5000,10.99,0,0.13,2,N
24,38400,3,RENT,B,DEBTCONSOLIDATION,5000,11.14,0,0.13,3,N
23,39000,6,RENT,B,EDUCATION,5000,12.69,0,0.13,3,N
22,39000,4,RENT,A,MEDICAL,5000,6.99,0,0.13,2,N
25,39000,9,RENT,A,MEDICAL,5000,7.49,0,0.13,4,N
24,33000,1,RENT,F,MEDICAL,5000,21.36,1,0.15,2,N
24,42500,5,MORTGAGE,A,PERSONAL,4800,7.51,0,0.11,2,N
23,42500,7,MORTGAGE,A,EDUCATION,7500,8.49,0,0.18,3,N
23,42500,2,MORTGAGE,B,EDUCATION,12600,,0,0.3,4,N
25,42500,9,MORTGAGE,A,EDUCATION,2000,5.42,0,0.05,3,N
24,42500,8,MORTGAGE,C,DEBTCONSOLIDATION,10000,13.8,0,0.24,2,N
26,39516,0,RENT,A,MEDICAL,5000,7.74,0,0.13,3,N
24,39862,8,RENT,C,MEDICAL,5000,14.22,0,0.13,4,N
25,39996,3,RENT,A,MEDICAL,5000,6.92,0,0.13,3,N
25,39996,2,RENT,C,DEBTCONSOLIDATION,5000,13.72,0,0.13,2,N
21,33996,3,RENT,B,PERSONAL,5000,9.25,1,0.15,3,N
23,33996,0,RENT,D,PERSONAL,5000,14.84,1,0.15,2,Y
24,33996,2,RENT,D,HOMEIMPROVEMENT,5000,14.96,1,0.15,2,N
25,39996,0,RENT,C,VENTURE,5000,12.87,0,0.13,2,Y
25,39996,1,RENT,B,DEBTCONSOLIDATION,5000,11.89,0,0.13,4,N
23,39996,6,RENT,B,PERSONAL,5000,10.2,0,0.13,2,N
24,33996,2,RENT,D,VENTURE,5000,12.92,1,0.15,4,N
21,42500,0,OTHER,D,EDUCATION,7000,14.61,0,0.16,2,Y
23,40000,0,RENT,B,EDUCATION,5000,12.42,0,0.13,4,N
26,40000,11,RENT,B,EDUCATION,5000,9.91,0,0.13,3,N
22,40000,,RENT,A,EDUCATION,5000,8.9,0,0.13,2,N
24,40000,5,RENT,B,DEBTCONSOLIDATION,5000,12.42,0,0.13,3,N
25,42504,9,MORTGAGE,A,MEDICAL,10000,7.29,0,0.24,2,N
21,40000,4,RENT,A,VENTURE,5000,5.79,0,0.13,2,N
21,36588,5,MORTGAGE,D,DEBTCONSOLIDATION,1000,14.61,1,0.03,2,N
22,34000,6,RENT,B,PERSONAL,5000,,1,0.15,4,N
24,40000,6,RENT,A,MEDICAL,5000,6.17,0,0.13,3,N
21,40000,3,RENT,B,VENTURE,5000,9.25,0,0.13,4,N
24,34000,2,RENT,C,EDUCATION,5000,12.23,1,0.15,2,N
25,42642,8,OWN,F,EDUCATION,10000,15.76,0,0.23,3,Y
22,40000,,RENT,A,EDUCATION,5000,6.17,0,0.13,2,N
23,40000,2,RENT,C,MEDICAL,5000,,0,0.13,3,N
23,42806,7,MORTGAGE,A,EDUCATION,1000,7.51,0,0.02,2,N
22,34000,4,RENT,C,DEBTCONSOLIDATION,5000,12.73,1,0.15,3,Y
25,40000,0,RENT,B,DEBTCONSOLIDATION,5000,11.36,0,0.13,4,N
26,40000,0,RENT,C,PERSONAL,5000,13.11,0,0.13,3,Y
21,34000,2,RENT,D,PERSONAL,5000,14.59,1,0.15,4,N
26,40000,1,RENT,C,MEDICAL,5000,14.26,0,0.13,2,Y
22,42900,7,OWN,B,EDUCATION,2000,10.74,0,0.05,4,N
23,42900,6,OWN,A,MEDICAL,1000,6.76,0,0.02,3,N
26,40000,3,RENT,B,DEBTCONSOLIDATION,5000,9.45,0,0.13,3,N
22,40000,6,RENT,A,MEDICAL,5000,7.43,0,0.13,4,N
25,42996,4,MORTGAGE,A,HOMEIMPROVEMENT,12000,6.17,0,0.28,4,N
22,34500,2,RENT,D,MEDICAL,5000,16.89,1,0.14,3,N
23,42996,2,MORTGAGE,D,VENTURE,8500,,0,0.2,4,Y
25,34800,2,RENT,D,PERSONAL,5000,16.02,1,0.14,3,Y
22,34800,0,RENT,D,MEDICAL,5000,15.21,1,0.14,2,Y
23,40992,7,RENT,B,EDUCATION,5000,10.99,0,0.12,2,N
22,35000,4,RENT,C,EDUCATION,5000,15.96,1,0.14,4,N
25,41000,9,RENT,B,MEDICAL,5000,11.71,0,0.12,2,N
25,42996,1,OWN,D,VENTURE,7200,14.11,0,0.17,4,N
21,35000,6,RENT,C,PERSONAL,5000,14.79,1,0.14,2,N
23,41000,2,RENT,A,EDUCATION,5000,7.51,0,0.12,2,N
22,41000,6,RENT,A,VENTURE,5000,,0,0.12,2,N
23,41017,6,RENT,A,DEBTCONSOLIDATION,5000,,0,0.12,2,N
25,35280,0,RENT,D,HOMEIMPROVEMENT,5000,14.96,1,0.14,3,N
22,42000,0,RENT,A,EDUCATION,5000,8.9,0,0.12,4,N
24,43000,8,MORTGAGE,A,DEBTCONSOLIDATION,9500,6.62,0,0.22,2,N
23,43000,7,MORTGAGE,A,VENTURE,15600,,0,0.36,4,N
24,42000,7,RENT,B,VENTURE,5000,10.99,0,0.12,4,N
26,42000,6,RENT,A,DEBTCONSOLIDATION,5000,7.29,0,0.12,4,N
22,36000,1,RENT,C,EDUCATION,5000,12.68,1,0.14,4,N
21,43000,5,MORTGAGE,A,PERSONAL,7000,6.62,0,0.16,4,N
22,43000,4,MORTGAGE,C,PERSONAL,6600,14.27,0,0.15,2,Y
22,43000,3,MORTGAGE,A,VENTURE,2600,,0,0.06,4,N
22,43000,6,MORTGAGE,B,EDUCATION,9000,11.71,0,0.21,4,N
24,42000,8,RENT,A,MEDICAL,5000,5.42,0,0.12,2,N
22,43000,2,OWN,B,VENTURE,22800,12.69,0,0.53,2,N
24,43000,6,MORTGAGE,B,MEDICAL,6000,10.65,0,0.14,3,N
22,36000,5,RENT,D,MEDICAL,5000,16.32,1,0.14,4,N
24,43000,7,MORTGAGE,C,MEDICAL,6000,13.49,0,0.14,3,Y
26,43000,6,MORTGAGE,B,MEDICAL,15000,11.99,0,0.35,2,N
25,42000,3,RENT,A,MEDICAL,5000,7.51,0,0.12,3,N
24,36000,2,RENT,D,DEBTCONSOLIDATION,5000,14.59,1,0.14,2,N
22,42000,2,RENT,C,MEDICAL,5000,12.87,0,0.12,4,N
24,43000,5,MORTGAGE,C,HOMEIMPROVEMENT,2500,13.49,0,0.06,4,Y
23,36000,0,RENT,C,VENTURE,5000,13.22,1,0.14,4,N
23,43000,7,MORTGAGE,B,DEBTCONSOLIDATION,7200,10.59,0,0.17,3,N
21,42000,5,RENT,A,EDUCATION,5000,9.32,0,0.12,4,N
24,37000,8,MORTGAGE,B,HOMEIMPROVEMENT,10000,,1,0.27,2,N
26,43000,9,MORTGAGE,A,PERSONAL,8800,5.42,0,0.2,3,N
26,42000,2,RENT,C,VENTURE,5000,11.91,0,0.12,4,Y
23,43000,3,MORTGAGE,D,VENTURE,3600,15.62,0,0.08,3,N
22,43000,5,OWN,B,VENTURE,3500,11.49,0,0.08,3,N
24,36100,4,RENT,D,DEBTCONSOLIDATION,5000,12.92,1,0.14,3,Y
25,42288,2,RENT,B,EDUCATION,5000,10.99,0,0.12,2,N
22,42500,2,RENT,B,DEBTCONSOLIDATION,5000,12.42,0,0.12,4,N
22,42500,0,RENT,C,DEBTCONSOLIDATION,5000,12.98,0,0.12,4,Y
24,42996,5,RENT,A,MEDICAL,5000,7.14,0,0.12,4,N
25,42996,6,RENT,B,DEBTCONSOLIDATION,5000,10.38,0,0.12,2,N
22,43000,0,MORTGAGE,B,PERSONAL,6650,10.37,0,0.15,3,N
25,43000,6,RENT,A,PERSONAL,5000,7.51,0,0.12,3,N
24,37000,3,RENT,E,MEDICAL,5000,16.45,1,0.14,3,N
22,43000,6,OWN,A,EDUCATION,7750,7.66,0,0.18,2,N
22,43200,6,RENT,B,EDUCATION,5000,12.69,0,0.12,2,N
24,43000,1,MORTGAGE,A,MEDICAL,7000,6.92,0,0.16,3,N
24,43200,3,RENT,C,EDUCATION,5000,14.17,0,0.12,4,Y
23,43200,7,RENT,C,MEDICAL,5000,12.87,0,0.12,3,Y
26,43680,5,RENT,B,MEDICAL,5000,10.65,0,0.11,4,N
22,37900,2,RENT,B,MEDICAL,5000,12.18,1,0.13,2,N
22,43000,1,MORTGAGE,A,DEBTCONSOLIDATION,4000,7.88,0,0.09,4,N
26,44000,4,RENT,A,MEDICAL,5000,8.9,0,0.11,3,N
22,44004,2,RENT,A,EDUCATION,5000,8.9,0,0.11,3,N
24,38500,0,RENT,D,MEDICAL,5000,14.84,1,0.13,2,N
22,43000,0,MORTGAGE,A,EDUCATION,5000,7.14,0,0.12,2,N
24,37000,7,MORTGAGE,A,DEBTCONSOLIDATION,6250,7.14,1,0.17,4,N
22,45000,3,RENT,B,VENTURE,5000,12.42,0,0.11,2,N
22,43000,3,MORTGAGE,A,EDUCATION,2000,,0,0.05,3,N
22,45000,3,RENT,B,MEDICAL,5000,9.91,0,0.11,3,N
25,43000,5,MORTGAGE,A,DEBTCONSOLIDATION,10000,7.88,0,0.23,3,N
25,45000,2,RENT,C,MEDICAL,5000,,0,0.11,4,N
25,43000,5,OWN,A,VENTURE,8000,7.14,0,0.19,4,N
22,43000,5,MORTGAGE,B,MEDICAL,7000,10.62,0,0.16,4,N
24,43000,3,MORTGAGE,A,PERSONAL,11500,7.88,0,0.27,2,N
24,43000,6,MORTGAGE,C,DEBTCONSOLIDATION,9250,13.11,0,0.22,2,N
24,39000,1,RENT,E,DEBTCONSOLIDATION,5000,16.77,1,0.13,3,Y
25,45000,0,RENT,B,PERSONAL,5000,10.74,0,0.11,4,N
22,45000,3,RENT,B,PERSONAL,5000,11.11,0,0.11,3,N
23,43000,3,MORTGAGE,A,DEBTCONSOLIDATION,9800,8.59,0,0.23,2,N
22,39000,2,RENT,C,MEDICAL,5000,12.23,1,0.13,3,Y
24,45000,0,RENT,A,MEDICAL,5000,7.88,0,0.11,3,N
22,45000,6,RENT,B,EDUCATION,5000,11.36,0,0.11,4,N
22,43000,7,OWN,A,PERSONAL,6000,7.74,0,0.14,4,N
23,45000,3,RENT,A,DEBTCONSOLIDATION,5000,9.32,0,0.11,4,N
23,39000,3,RENT,D,DEBTCONSOLIDATION,5000,15.37,1,0.13,4,Y
24,45000,0,RENT,C,MEDICAL,5000,13.79,0,0.11,2,Y
25,45000,0,RENT,B,DEBTCONSOLIDATION,5000,11.89,0,0.11,3,N
23,45000,0,RENT,A,EDUCATION,5000,7.75,0,0.11,3,N
25,45600,6,RENT,C,DEBTCONSOLIDATION,5000,,0,0.11,2,N
23,39600,4,RENT,D,MEDICAL,5000,14.84,1,0.13,2,Y
23,45600,4,RENT,C,VENTURE,5000,14.22,0,0.11,4,N
23,45984,7,RENT,A,VENTURE,5000,7.14,0,0.11,4,N
24,39996,0,RENT,D,VENTURE,5000,14.11,1,0.13,3,Y
26,40000,0,RENT,D,PERSONAL,5000,15.99,1,0.13,2,Y
22,46000,4,RENT,A,EDUCATION,5000,7.88,0,0.11,2,N
23,43000,1,MORTGAGE,A,PERSONAL,9000,9.63,0,0.21,2,N
24,37000,0,MORTGAGE,C,MEDICAL,8500,12.53,1,0.23,2,Y
22,43000,2,MORTGAGE,C,DEBTCONSOLIDATION,8500,12.09,0,0.2,4,Y
22,46500,4,RENT,B,VENTURE,5000,10.37,0,0.11,4,N
25,46800,9,RENT,A,MEDICAL,5000,6.76,0,0.11,3,N
21,46800,2,RENT,A,PERSONAL,5000,9.32,0,0.11,3,N
21,43008,0,MORTGAGE,D,VENTURE,11200,15.31,0,0.26,3,N
24,46809,4,RENT,B,DEBTCONSOLIDATION,5000,12.18,0,0.11,4,N
25,47000,0,RENT,B,MEDICAL,5000,12.42,0,0.11,4,N
23,47000,0,RENT,A,VENTURE,5000,8.9,0,0.11,2,N
23,47000,4,RENT,B,EDUCATION,5000,9.99,0,0.11,3,N
26,47000,1,RENT,A,EDUCATION,5000,7.14,0,0.11,4,N
26,43200,1,OWN,C,EDUCATION,17000,13.49,0,0.39,2,Y
22,43200,1,MORTGAGE,D,PERSONAL,8400,16.77,0,0.19,4,N
23,43200,5,MORTGAGE,B,VENTURE,10000,12.69,0,0.23,3,N
23,47184,0,RENT,B,DEBTCONSOLIDATION,5000,10.25,0,0.11,2,N
23,47233,7,RENT,B,MEDICAL,5000,11.36,0,0.11,3,N
24,43200,4,MORTGAGE,A,VENTURE,6350,7.49,0,0.15,4,N
25,41496,7,RENT,B,EDUCATION,5000,10.83,1,0.12,3,N
25,43200,6,MORTGAGE,C,EDUCATION,3600,14.79,0,0.08,2,Y
26,43200,11,MORTGAGE,C,VENTURE,6000,12.87,0,0.14,3,N
26,42000,3,RENT,C,PERSONAL,5000,13.99,1,0.12,3,N
22,48000,7,RENT,A,VENTURE,5000,6.99,0,0.1,2,N
23,37200,7,MORTGAGE,B,HOMEIMPROVEMENT,7000,10.59,1,0.19,2,N
22,43200,,MORTGAGE,A,VENTURE,7975,7.49,0,0.18,2,N
21,42000,2,RENT,D,PERSONAL,5000,,1,0.12,4,N
23,37200,7,MORTGAGE,A,DEBTCONSOLIDATION,4000,7.66,1,0.11,2,N
23,48000,5,RENT,B,DEBTCONSOLIDATION,5000,9.25,0,0.1,2,N
24,48000,8,RENT,B,DEBTCONSOLIDATION,5000,9.99,0,0.1,4,N
23,48000,2,RENT,A,DEBTCONSOLIDATION,5000,6.17,0,0.1,4,N
22,48000,7,RENT,B,PERSONAL,5000,11.12,0,0.1,2,N
24,48000,6,RENT,C,EDUCATION,5000,13.11,0,0.1,4,Y
23,42000,0,RENT,C,DEBTCONSOLIDATION,5000,,1,0.12,2,Y
21,37200,3,MORTGAGE,A,MEDICAL,16800,6.17,1,0.45,2,N
22,43200,7,MORTGAGE,A,PERSONAL,11000,5.42,0,0.25,2,N
24,43200,3,MORTGAGE,C,HOMEIMPROVEMENT,16000,,0,0.37,2,Y
22,48000,6,RENT,B,VENTURE,5000,,0,0.1,2,N
23,43200,6,OWN,E,VENTURE,13000,15.95,0,0.3,2,N
23,43200,6,OWN,C,EDUCATION,2000,14.35,0,0.05,4,N
24,37200,2,MORTGAGE,A,MEDICAL,8000,7.88,1,0.22,4,N
24,48000,3,RENT,B,EDUCATION,5000,11.89,0,0.1,2,N
22,43200,6,MORTGAGE,A,VENTURE,6000,7.51,0,0.14,3,N
26,37200,10,MORTGAGE,C,DEBTCONSOLIDATION,16000,13.11,1,0.43,2,N
22,48000,2,RENT,B,DEBTCONSOLIDATION,5000,11.89,0,0.1,4,N
25,48000,3,RENT,A,PERSONAL,5000,9.63,0,0.1,3,N
23,48000,7,RENT,B,VENTURE,5000,8.7,0,0.1,3,N
22,48048,2,RENT,B,MEDICAL,5000,11.36,0,0.1,4,N
26,43200,10,MORTGAGE,B,HOMEIMPROVEMENT,2500,9.88,0,0.06,4,N
24,48200,3,RENT,B,MEDICAL,5000,10.38,0,0.1,2,N
24,43200,0,MORTGAGE,C,HOMEIMPROVEMENT,10000,14.26,0,0.23,4,Y
25,43200,9,OWN,B,VENTURE,13800,11.48,0,0.32,2,N
22,43200,6,OWN,A,PERSONAL,10000,9.63,0,0.23,3,N
22,43200,6,OWN,A,EDUCATION,6000,7.68,0,0.14,3,N
26,48996,5,RENT,A,EDUCATION,5000,7.88,0,0.1,3,N
24,48996,5,RENT,C,MEDICAL,5000,13.79,0,0.1,4,Y
23,43236,1,OWN,C,VENTURE,18000,12.87,0,0.42,2,N
24,49000,4,RENT,B,MEDICAL,5000,10.65,0,0.1,3,N
22,49000,6,RENT,B,VENTURE,5000,11.86,0,0.1,2,N
24,49296,8,RENT,A,EDUCATION,5000,7.88,0,0.1,4,N
22,49560,5,RENT,B,EDUCATION,5000,10.36,0,0.1,4,N
24,43300,2,MORTGAGE,B,DEBTCONSOLIDATION,24000,10.62,0,0.55,2,N
23,44000,6,RENT,D,HOMEIMPROVEMENT,5000,16.77,1,0.11,2,N
22,50000,6,RENT,A,DEBTCONSOLIDATION,5000,5.42,0,0.1,3,N
24,44000,2,RENT,C,EDUCATION,5000,15.23,1,0.11,2,N
23,50000,7,RENT,B,EDUCATION,5000,10.59,0,0.1,2,N
24,50000,1,RENT,A,HOMEIMPROVEMENT,5000,7.49,0,0.1,2,N
24,55000,6,RENT,C,DEBTCONSOLIDATION,9000,12.87,0,0.16,4,N
25,43500,2,MORTGAGE,A,HOMEIMPROVEMENT,9000,9.63,0,0.21,4,N
26,55000,10,RENT,E,EDUCATION,9000,16.7,0,0.16,3,N
23,43600,4,MORTGAGE,A,EDUCATION,7000,7.49,0,0.16,4,N
23,43600,7,OWN,C,EDUCATION,15000,,0,0.34,3,N
23,49029,1,RENT,A,MEDICAL,9000,,1,0.18,2,N
24,56000,8,RENT,D,HOMEIMPROVEMENT,9000,,0,0.16,2,Y
24,56000,6,RENT,A,PERSONAL,9000,7.29,0,0.16,2,N
23,56000,7,RENT,C,EDUCATION,9000,13.35,0,0.16,3,N
23,57000,1,RENT,A,PERSONAL,9000,7.14,0,0.16,2,N
23,37700,7,MORTGAGE,A,DEBTCONSOLIDATION,10000,9.63,1,0.27,3,N
25,37700,7,MORTGAGE,B,EDUCATION,9000,11.58,1,0.24,2,N
26,57240,3,RENT,A,VENTURE,9000,7.51,0,0.16,3,N
23,57500,2,RENT,B,MEDICAL,9000,10.37,0,0.16,3,N
25,43800,0,MORTGAGE,B,EDUCATION,13000,10.38,0,0.3,4,N
23,57500,5,RENT,A,EDUCATION,9000,6.91,0,0.16,2,N
26,37800,10,MORTGAGE,D,HOMEIMPROVEMENT,7000,14.96,1,0.19,4,N
25,57996,4,RENT,B,DEBTCONSOLIDATION,9000,11.83,0,0.16,4,N
26,43873,,OWN,D,HOMEIMPROVEMENT,17500,16.32,0,0.4,3,N
24,58000,6,RENT,A,EDUCATION,9000,7.29,0,0.16,4,N
24,58800,4,RENT,A,EDUCATION,9000,,0,0.15,2,N
21,43971,5,MORTGAGE,A,PERSONAL,4600,5.42,0,0.1,4,N
23,60000,1,RENT,A,DEBTCONSOLIDATION,9000,7.51,0,0.15,3,N
22,44000,4,MORTGAGE,B,EDUCATION,10000,12.69,0,0.23,2,N
23,44000,7,OWN,A,VENTURE,6400,7.51,0,0.15,3,N
26,60000,0,RENT,B,VENTURE,9000,10.59,0,0.15,3,N
22,60000,5,RENT,A,PERSONAL,9000,5.99,0,0.15,4,N
26,60000,4,RENT,C,EDUCATION,9000,12.68,0,0.15,4,N
23,44000,4,MORTGAGE,A,EDUCATION,3200,7.51,0,0.07,4,N
23,60000,2,RENT,A,MEDICAL,9000,6.17,0,0.15,2,N
24,44000,,MORTGAGE,A,MEDICAL,4000,,0,0.09,3,N
24,44000,9,OWN,C,VENTURE,6000,15.96,0,0.14,4,Y
23,60000,2,RENT,A,VENTURE,9000,,0,0.15,4,N
23,44000,2,MORTGAGE,C,VENTURE,4000,15.27,0,0.09,2,N
25,44000,6,MORTGAGE,A,HOMEIMPROVEMENT,7000,6.03,0,0.16,3,N
21,44000,2,MORTGAGE,A,DEBTCONSOLIDATION,12000,,0,0.27,2,N
24,44000,4,MORTGAGE,B,PERSONAL,11200,10.99,0,0.25,4,N
23,60000,0,RENT,C,EDUCATION,9000,13.61,0,0.15,4,N
22,60000,3,RENT,B,DEBTCONSOLIDATION,9000,11.86,0,0.15,4,N
22,60000,6,RENT,A,EDUCATION,9000,7.14,0,0.15,4,N
22,60000,0,RENT,C,DEBTCONSOLIDATION,9000,,0,0.15,2,N
24,60000,1,RENT,B,VENTURE,9000,11.58,0,0.15,3,N
22,44000,2,MORTGAGE,A,PERSONAL,3500,5.99,0,0.08,2,N
24,44000,7,MORTGAGE,B,PERSONAL,10000,9.99,0,0.23,3,N
23,61041,7,RENT,B,PERSONAL,9000,11.36,0,0.15,2,N
22,62400,6,RENT,A,VENTURE,9000,8.49,0,0.14,3,N
25,62604,2,RENT,A,PERSONAL,9000,,0,0.14,3,N
26,64000,3,RENT,A,DEBTCONSOLIDATION,9000,6.03,0,0.14,2,N
25,44000,2,MORTGAGE,D,VENTURE,12000,14.54,0,0.27,2,N
26,44000,7,MORTGAGE,E,PERSONAL,10000,17.14,0,0.23,4,N
24,65000,5,RENT,A,HOMEIMPROVEMENT,9000,6.03,0,0.14,4,N
25,44000,5,MORTGAGE,A,VENTURE,4000,5.79,0,0.09,4,N
22,44000,5,MORTGAGE,A,DEBTCONSOLIDATION,7200,7.29,0,0.16,3,N
24,44000,8,MORTGAGE,A,EDUCATION,2000,5.79,0,0.05,3,N
22,65000,1,RENT,B,DEBTCONSOLIDATION,9000,9.91,0,0.14,4,N
24,44000,8,OWN,A,VENTURE,14500,7.29,0,0.33,2,N
23,44000,,MORTGAGE,A,MEDICAL,6000,5.42,0,0.14,4,N
23,59000,0,RENT,D,HOMEIMPROVEMENT,9000,15.28,1,0.15,4,N
26,65000,3,RENT,B,MEDICAL,9000,11.86,0,0.14,4,N
24,44000,8,MORTGAGE,A,DEBTCONSOLIDATION,10750,6.17,0,0.24,3,N
26,44000,0,MORTGAGE,A,HOMEIMPROVEMENT,8475,6.91,0,0.19,4,N
23,44000,0,MORTGAGE,A,MEDICAL,5500,6.17,0,0.13,4,N
23,69000,7,RENT,B,PERSONAL,9000,11.49,0,0.13,2,N
24,44000,,MORTGAGE,A,MEDICAL,3600,5.79,0,0.08,2,N
22,70000,3,RENT,C,VENTURE,9000,13.49,0,0.13,2,Y
22,70000,4,RENT,B,EDUCATION,9000,,0,0.13,2,N
